stage,animal,boss_hp,boss_attack,pool_min,pool_max,mean_ally_dps,two_average_allies_seconds,assumed_success_rate,assumed_pull_seconds,runs,model_median_minutes,model_p10_minutes,model_p90_minutes,model_median_pulls,censored
8,koala,4850,74,1,7,14.94,162.3,0.8,18,100,5.23,3.64,7.96,17,0
9,monk,6200,83,1,8,16.84,184.1,0.4,18,100,19.68,10.02,30.55,65,0
9,monk,6200,83,1,8,16.84,184.1,0.6,18,100,9.9,5.44,16.39,32,0
9,monk,6200,83,1,8,16.84,184.1,0.8,18,100,5.5,4.35,8.29,18,0
10,panda,6850,93,1,9,18.99,180.3,0.4,18,100,21.71,12.03,32.84,72,0
10,panda,6850,93,1,9,18.99,180.3,0.6,18,100,10.18,5.34,17.02,33,0
10,panda,6850,93,1,9,18.99,180.3,0.8,18,100,5.4,3.85,8.25,18,0
11,lion,8200,104,1,10,21.45,191.1,0.4,18,100,20.86,11.08,38.28,69,0
11,lion,8200,104,1,10,21.45,191.1,0.6,18,100,10.66,5.58,15.65,35,0
11,lion,8200,104,1,10,21.45,191.1,0.8,18,100,6.13,4.26,8.97,20,0
12,elephant,9950,117,1,11,24.35,204.3,0.4,18,100,25.33,12.48,34.6,84,0
12,elephant,9950,117,1,11,24.35,204.3,0.6,18,100,11.95,6.37,19.03,39,0
12,elephant,9950,117,1,11,24.35,204.3,0.8,18,100,6.05,3.81,9.24,20,0
13,bear_b,820,30,1,12,27.76,14.8,0.4,18,100,1.31,0.69,3.36,4,0
13,bear_b,820,30,1,12,27.76,14.8,0.6,18,100,1.06,0.68,1.93,3,0
13,bear_b,820,30,1,12,27.76,14.8,0.8,18,100,0.9,0.64,1.39,2,0
14,pig_b,1220,30,1,13,26.86,22.7,0.4,18,100,1.64,0.84,3.48,5,0
14,pig_b,1220,30,1,13,26.86,22.7,0.6,18,100,1.3,0.8,2.39,4,0
14,pig_b,1220,30,1,13,26.86,22.7,0.8,18,100,1.16,0.75,2.01,3,0
15,cow_b,3600,88,1,14,26.25,68.6,0.4,18,100,6.24,2.7,10.76,20,0
15,cow_b,3600,88,1,14,26.25,68.6,0.6,18,100,3.63,1.7,5.82,12,0
15,cow_b,3600,88,1,14,26.25,68.6,0.8,18,100,2.55,1.61,4.1,8,0
16,octopus_b,4400,98,1,15,26.04,84.5,0.4,18,100,7,2.81,12.64,23,0
16,octopus_b,4400,98,1,15,26.04,84.5,0.6,18,100,4.44,2.47,7.2,14,0
16,octopus_b,4400,98,1,15,26.04,84.5,0.8,18,100,2.94,1.82,4.48,9,0
17,duck_b,5500,108,2,16,27.37,100.5,0.4,18,100,10.17,3.18,16.31,33,0
17,duck_b,5500,108,2,16,27.37,100.5,0.6,18,100,5.46,2.39,9.37,18,0
17,duck_b,5500,108,2,16,27.37,100.5,0.8,18,100,3.25,2.05,4.83,10,0
18,frog_b,6500,120,3,17,28.98,112.1,0.4,18,100,12.78,5.3,20.38,42,0
18,frog_b,6500,120,3,17,28.98,112.1,0.6,18,100,5.92,2.95,9.82,19,0
18,frog_b,6500,120,3,17,28.98,112.1,0.8,18,100,3.42,2.38,5.49,11,0
19,horse_b,8200,134,4,18,30.94,132.5,0.4,18,100,13.3,6.92,21.59,44,0
19,horse_b,8200,134,4,18,30.94,132.5,0.6,18,100,7.05,3.64,11.61,23,0
19,horse_b,8200,134,4,18,30.94,132.5,0.8,18,100,4.29,2.96,6.32,14,0
20,koala_b,9700,148,5,19,33.3,145.6,0.4,18,100,16.33,8.47,24.43,54,0
20,koala_b,9700,148,5,19,33.3,145.6,0.6,18,100,7.94,4.12,12.75,26,0
20,koala_b,9700,148,5,19,33.3,145.6,0.8,18,100,4.81,3.53,7.08,16,0
21,monk_b,12400,166,6,20,36.21,171.2,0.4,18,100,20.02,9.98,28.89,66,0
21,monk_b,12400,166,6,20,36.21,171.2,0.6,18,100,8.95,4.4,15.24,29,0
21,monk_b,12400,166,6,20,36.21,171.2,0.8,18,100,5.3,3.83,7.79,17,0
22,panda_b,13700,186,7,21,39.68,172.6,0.4,18,100,22.31,13.97,30.98,74,0
22,panda_b,13700,186,7,21,39.68,172.6,0.6,18,100,11,5.26,16.87,36,0
22,panda_b,13700,186,7,21,39.68,172.6,0.8,18,100,5.43,3.97,8.29,18,0
23,lion_b,16400,208,8,22,43.84,187,0.4,18,100,21.69,11.29,33.54,72,0
23,lion_b,16400,208,8,22,43.84,187,0.6,18,100,11.01,5.07,18.19,36,0
23,lion_b,16400,208,8,22,43.84,187,0.8,18,100,5.99,4.41,8.54,19,0
24,elephant_b,19900,234,9,23,48.94,203.3,0.4,18,100,24.88,15.74,37.59,82,0
24,elephant_b,19900,234,9,23,48.94,203.3,0.6,18,100,12.44,5.99,17.94,41,0
24,elephant_b,19900,234,9,23,48.94,203.3,0.8,18,100,6.05,4.09,10.77,20,0
25,bear_r,1230,45,10,24,55.23,11.1,0.4,18,100,1.21,0.61,2.24,4,0
25,bear_r,1230,45,10,24,55.23,11.1,0.6,18,100,1.02,0.55,1.61,3,0
25,bear_r,1230,45,10,24,55.23,11.1,0.8,18,100,0.85,0.57,1.29,2,0
26,pig_r,1830,45,11,25,53.93,17,0.4,18,100,1.15,0.78,3.04,3,0
26,pig_r,1830,45,11,25,53.93,17,0.6,18,100,1.12,0.72,2.16,3,0
26,pig_r,1830,45,11,25,53.93,17,0.8,18,100,0.94,0.72,1.48,3,0
27,cow_r,5400,132,12,26,52.21,51.7,0.4,18,100,4.17,1.73,7.74,13,0
27,cow_r,5400,132,12,26,52.21,51.7,0.6,18,100,2.55,1.46,4.24,8,0
27,cow_r,5400,132,12,26,52.21,51.7,0.8,18,100,1.89,1.25,2.85,6,0
28,octopus_r,6600,147,13,27,50.17,65.8,0.4,18,100,5.28,1.95,8.67,17,0
28,octopus_r,6600,147,13,27,50.17,65.8,0.6,18,100,3.43,1.67,5.72,11,0
28,octopus_r,6600,147,13,27,50.17,65.8,0.8,18,100,2.43,1.4,4.05,8,0
29,duck_r,8250,162,14,28,51.9,79.5,0.4,18,100,6.19,2.9,10.96,20,0
29,duck_r,8250,162,14,28,51.9,79.5,0.6,18,100,3.57,1.89,6.34,11,0
29,duck_r,8250,162,14,28,51.9,79.5,0.8,18,100,2.67,1.63,4.63,8,0
30,frog_r,9750,180,15,29,54.01,90.3,0.4,18,100,8.1,2.59,13.27,26,0
30,frog_r,9750,180,15,29,54.01,90.3,0.6,18,100,4.18,2.35,7.3,13,0
30,frog_r,9750,180,15,29,54.01,90.3,0.8,18,100,2.95,2.16,4.61,9,0
31,horse_r,12300,201,16,30,56.56,108.7,0.4,18,100,8.76,3.39,15.5,29,0
31,horse_r,12300,201,16,30,56.56,108.7,0.6,18,100,5.18,2.8,9.14,17,0
31,horse_r,12300,201,16,30,56.56,108.7,0.8,18,100,3.65,2.42,5.22,12,0
32,koala_r,14550,222,17,31,59.63,122,0.4,18,100,12.4,6.68,21.76,41,0
32,koala_r,14550,222,17,31,59.63,122,0.6,18,100,6.35,3.18,11.01,21,0
32,koala_r,14550,222,17,31,59.63,122,0.8,18,100,3.81,2.51,5.98,12,0
33,monk_r,18600,249,18,32,63.44,146.6,0.4,18,100,16.71,7.04,21.23,55,0
33,monk_r,18600,249,18,32,63.44,146.6,0.6,18,100,7.5,3.83,12.39,24,0
33,monk_r,18600,249,18,32,63.44,146.6,0.8,18,100,4.62,3.28,6.57,15,0
34,panda_r,20550,279,19,33,67.96,151.2,0.4,18,100,17.25,8.82,25.6,57,0
34,panda_r,20550,279,19,33,67.96,151.2,0.6,18,100,8.63,4.7,13.87,28,0
34,panda_r,20550,279,19,33,67.96,151.2,0.8,18,100,4.8,3.46,7.36,16,0
35,lion_r,24600,312,20,34,73.38,167.6,0.4,18,100,19.85,10.42,30.94,66,0
35,lion_r,24600,312,20,34,73.38,167.6,0.6,18,100,9.7,5.94,16.01,32,0
35,lion_r,24600,312,20,34,73.38,167.6,0.8,18,100,5.02,3.6,8.21,16,0
36,elephant_r,29850,351,21,35,80.03,186.5,0.4,18,100,22.77,13.38,33.07,75,0
36,elephant_r,29850,351,21,35,80.03,186.5,0.6,18,100,9.78,4.95,15.26,32,0
36,elephant_r,29850,351,21,35,80.03,186.5,0.8,18,100,5.43,4.01,8.9,18,0
