stage,animal,old_hp,boss_hp,boss_attack,boss_interval,clear_coins,target_minutes,assumed_success_rate,assumed_pull_seconds,runs,median_minutes,p10_minutes,p90_minutes,median_pulls,censored
9,monk,6200,9700,51,1.47,1000,9,0.4,18,300,18,10.33,26.46,59,0
9,monk,6200,9700,51,1.47,1000,9,0.6,18,300,8.92,5.88,14.39,29,0
9,monk,6200,9700,51,1.47,1000,9,0.8,18,300,6.57,5.25,8.92,21,0
10,panda,6850,11050,57,1.46,700,9,0.4,18,300,18.64,9.12,28.69,62,0
10,panda,6850,11050,57,1.46,700,9,0.6,18,300,9.06,5.93,15.36,30,0
10,panda,6850,11050,57,1.46,700,9,0.8,18,300,6.42,4.93,8.17,21,0
11,lion,8200,13250,63,1.46,700,8.9,0.4,18,300,18.44,9.7,28.72,61,0
11,lion,8200,13250,63,1.46,700,8.9,0.6,18,300,9.41,5.88,14.54,31,0
11,lion,8200,13250,63,1.46,700,8.9,0.8,18,300,6.67,4.78,9.42,22,0
12,elephant,9950,14250,71,1.45,700,8.8,0.4,18,300,16.82,8.36,25.31,56,0
12,elephant,9950,14250,71,1.45,700,8.8,0.6,18,300,8.91,5.4,13.82,29,0
12,elephant,9950,14250,71,1.45,700,8.8,0.8,18,300,6.31,4.87,8.61,21,0
13,bear_b,820,16550,79,1.44,700,8.8,0.4,18,300,15.95,8.33,25.49,53,0
13,bear_b,820,16550,79,1.44,700,8.8,0.6,18,300,8.73,5.38,14.23,29,0
13,bear_b,820,16550,79,1.44,700,8.8,0.8,18,300,6.13,4.4,8.15,20,0
14,pig_b,1220,16950,77,1.44,700,9.3,0.4,18,300,17.15,8.67,27.5,57,0
14,pig_b,1220,16950,77,1.44,700,9.3,0.6,18,300,9.16,5.5,14.5,30,0
14,pig_b,1220,16950,77,1.44,700,9.3,0.8,18,300,6.21,4.58,8.78,20,0
15,cow_b,3600,19950,75,1.43,800,10.2,0.4,18,300,21.93,10.11,31.32,73,0
15,cow_b,3600,19950,75,1.43,800,10.2,0.6,18,300,10.64,6.32,16.14,35,0
15,cow_b,3600,19950,75,1.43,800,10.2,0.8,18,300,7.48,5.51,10.44,24,0
16,octopus_b,4400,22150,75,1.43,900,11.3,0.4,18,300,21.48,11.53,35.03,71,0
16,octopus_b,4400,22150,75,1.43,900,11.3,0.6,18,300,11.09,7.06,18.08,36,0
16,octopus_b,4400,22150,75,1.43,900,11.3,0.8,18,300,8.53,6.18,11.09,28,0
17,duck_b,5500,24400,78,1.42,900,12.4,0.4,18,300,27.22,14.59,38.35,90,0
17,duck_b,5500,24400,78,1.42,900,12.4,0.6,18,300,12.24,7.82,18.45,40,0
17,duck_b,5500,24400,78,1.42,900,12.4,0.8,18,300,8.89,6.71,11.81,29,0
18,frog_b,6500,27350,82,1.41,1000,13.3,0.4,18,300,27.04,14.06,39.75,90,0
18,frog_b,6500,27350,82,1.41,1000,13.3,0.6,18,300,13.02,8.79,20.51,43,0
18,frog_b,6500,27350,82,1.41,1000,13.3,0.8,18,300,9.63,7.4,12.18,32,0
19,horse_b,8200,29250,88,1.41,1100,13.9,0.4,18,300,27.76,16.06,39.15,92,0
19,horse_b,8200,29250,88,1.41,1100,13.9,0.6,18,300,13.43,8.79,19.89,44,0
19,horse_b,8200,29250,88,1.41,1100,13.9,0.8,18,300,9.82,7.73,12.13,32,0
20,koala_b,9700,31250,94,1.4,1400,14.1,0.4,18,300,27.78,18.08,40.01,92,0
20,koala_b,9700,31250,94,1.4,1400,14.1,0.6,18,300,13.71,9.53,20.24,45,0
20,koala_b,9700,31250,94,1.4,1400,14.1,0.8,18,300,9.97,8.06,12.24,33,0
21,monk_b,12400,34550,101,1.39,1100,14.1,0.4,18,300,31.34,19.13,43.79,104,0
21,monk_b,12400,34550,101,1.39,1100,14.1,0.6,18,300,14.19,9.65,21.97,47,0
21,monk_b,12400,34550,101,1.39,1100,14.1,0.8,18,300,9.92,8.38,12.34,33,0
22,panda_b,13700,38700,110,1.39,1100,14,0.4,18,300,30,18.94,43.01,100,0
22,panda_b,13700,38700,110,1.39,1100,14,0.6,18,300,14.71,9.73,20.53,49,0
22,panda_b,13700,38700,110,1.39,1100,14,0.8,18,300,10.26,8.6,12.59,34,0
23,lion_b,16400,42100,121,1.38,1000,13.8,0.4,18,300,27.05,15.53,39.75,90,0
23,lion_b,16400,42100,121,1.38,1000,13.8,0.6,18,300,13.68,9.33,20.74,45,0
23,lion_b,16400,42100,121,1.38,1000,13.8,0.8,18,300,9.62,7.89,12.2,32,0
24,elephant_b,19900,49250,134,1.38,1000,13.6,0.4,18,300,29.89,16.5,43.63,99,0
24,elephant_b,19900,49250,134,1.38,1000,13.6,0.6,18,300,13.96,9.37,20.31,46,0
24,elephant_b,19900,49250,134,1.38,1000,13.6,0.8,18,300,9.84,7.63,12.85,32,0
25,bear_r,1230,55700,149,1.37,1000,13.5,0.4,18,300,28.39,15.3,40.71,94,0
25,bear_r,1230,55700,149,1.37,1000,13.5,0.6,18,300,13.57,8.82,20.79,45,0
25,bear_r,1230,55700,149,1.37,1000,13.5,0.8,18,300,10.03,7.24,12.69,33,0
26,pig_r,1830,53600,145,1.36,1000,13.7,0.4,18,300,26.68,14.81,41.65,88,0
26,pig_r,1830,53600,145,1.36,1000,13.7,0.6,18,300,13.19,8.54,20.3,43,0
26,pig_r,1830,53600,145,1.36,1000,13.7,0.8,18,300,9.57,7.18,12.24,31,0
27,cow_r,5400,59300,141,1.36,1100,14.3,0.4,18,300,30.1,16.34,45.34,100,0
27,cow_r,5400,59300,141,1.36,1100,14.3,0.6,18,300,14.88,9.57,23.02,49,0
27,cow_r,5400,59300,141,1.36,1100,14.3,0.8,18,300,10.59,7.86,13.83,35,0
28,octopus_r,6600,61950,135,1.35,1200,15.3,0.4,18,300,32.4,18.94,47.85,107,0
28,octopus_r,6600,61950,135,1.35,1200,15.3,0.6,18,300,14.82,9.87,23.84,49,0
28,octopus_r,6600,61950,135,1.35,1200,15.3,0.8,18,300,11.16,8.47,14.21,37,0
29,duck_r,8250,70350,139,1.34,1200,16.7,0.4,18,300,34.71,19.34,52.46,115,0
29,duck_r,8250,70350,139,1.34,1200,16.7,0.6,18,300,16.88,10.64,25.62,56,0
29,duck_r,8250,70350,139,1.34,1200,16.7,0.8,18,300,12.16,9.53,15.38,40,0
30,frog_r,9750,78700,145,1.34,1300,18.1,0.4,18,300,39.08,22.73,55.87,130,0
30,frog_r,9750,78700,145,1.34,1300,18.1,0.6,18,300,18.86,12.19,26.21,62,0
30,frog_r,9750,78700,145,1.34,1300,18.1,0.8,18,300,13.55,10.48,16.46,45,0
31,horse_r,12300,79400,151,1.33,1400,19.3,0.4,18,300,37.46,26.13,54.4,124,0
31,horse_r,12300,79400,151,1.33,1400,19.3,0.6,18,300,18.62,13.26,26.74,62,0
31,horse_r,12300,79400,151,1.33,1400,19.3,0.8,18,300,13.35,10.94,16.06,44,0
32,koala_r,14550,91800,158,1.32,1500,20.3,0.4,18,300,42.17,28.14,60.53,140,0
32,koala_r,14550,91800,158,1.32,1500,20.3,0.6,18,300,19.56,13.93,29.89,65,0
32,koala_r,14550,91800,158,1.32,1500,20.3,0.8,18,300,14.96,12.53,17.8,49,0
33,monk_r,18600,100200,167,1.32,1600,21.1,0.4,18,300,45.77,29.33,60.5,152,0
33,monk_r,18600,100200,167,1.32,1600,21.1,0.6,18,300,21.33,15.19,29.53,71,0
33,monk_r,18600,100200,167,1.32,1600,21.1,0.8,18,300,15.14,13.21,17.82,50,0
34,panda_r,20550,113750,177,1.31,1600,21.8,0.4,18,300,47.31,32.09,65.06,157,0
34,panda_r,20550,113750,177,1.31,1600,21.8,0.6,18,300,21.87,16.03,30.59,72,0
34,panda_r,20550,113750,177,1.31,1600,21.8,0.8,18,300,16.17,13.86,19.1,53,0
35,lion_r,24600,133050,191,1.31,1600,22.4,0.4,18,300,49.01,34.62,66.37,163,0
35,lion_r,24600,133050,191,1.31,1600,22.4,0.6,18,300,23.11,17.02,30.67,77,0
35,lion_r,24600,133050,191,1.31,1600,22.4,0.8,18,300,17.03,14.84,19.81,56,0
36,elephant_r,29850,139900,206,1.3,2000,23,0.4,18,300,47.85,33.06,65.55,159,0
36,elephant_r,29850,139900,206,1.3,2000,23,0.6,18,300,23.5,16.4,31.05,78,0
36,elephant_r,29850,139900,206,1.3,2000,23,0.8,18,300,16.22,14.02,19.39,54,0
